,protocol,value,loss
0,MPQUIC,1,0.45-0.45
1,MPQUIC,1,0.45-0.45
2,MPQUIC,1,0.45-0.45
3,MPQUIC,1,0.45-0.45
4,MPQUIC,1,0.45-0.45
5,MPQUIC,1,0.45-0.45
6,MPQUIC,1,0.45-0.45
7,MPQUIC,1,0.45-0.45
8,MPQUIC,1,0.45-0.45
9,MPQUIC,1,0.45-0.45
10,MPQUIC,1,0.9-0.9
11,MPQUIC,1,0.9-0.9
12,MPQUIC,1,0.9-0.9
13,MPQUIC,1,0.9-0.9
14,MPQUIC,1,0.9-0.9
15,MPQUIC,1,0.9-0.9
16,MPQUIC,1,0.9-0.9
17,MPQUIC,1,0.9-0.9
18,MPQUIC,1,0.9-0.9
19,MPQUIC,1,0.9-0.9
20,MPQUIC,0.974,0.9-1.8
21,MPQUIC,0.956,0.9-1.8
22,MPQUIC,0.962,0.9-1.8
23,MPQUIC,0.971,0.9-1.8
24,MPQUIC,0.961,0.9-1.8
25,MPQUIC,0.954,0.9-1.8
26,MPQUIC,0.945,0.9-1.8
27,MPQUIC,0.969,0.9-1.8
28,MPQUIC,0.956,0.9-1.8
29,MPQUIC,0.95,0.9-1.8
30,MPQUIC,0.864,0.9-3.6
31,MPQUIC,0.854,0.9-3.6
32,MPQUIC,0.845,0.9-3.6
33,MPQUIC,0.854,0.9-3.6
34,MPQUIC,0.853,0.9-3.6
35,MPQUIC,0.832,0.9-3.6
36,MPQUIC,0.869,0.9-3.6
37,MPQUIC,0.854,0.9-3.6
38,MPQUIC,0.86,0.9-3.6
39,MPQUIC,0.855,0.9-3.6
40,MPQUIC,0.444,1.8-1.8
41,MPQUIC,0.451,1.8-1.8
42,MPQUIC,0.452,1.8-1.8
43,MPQUIC,0.47,1.8-1.8
44,MPQUIC,0.457,1.8-1.8
45,MPQUIC,0.451,1.8-1.8
46,MPQUIC,0.433,1.8-1.8
47,MPQUIC,0.478,1.8-1.8
48,MPQUIC,0.468,1.8-1.8
49,MPQUIC,0.472,1.8-1.8
50,MPQUIC,0.282,1.8-3.6
51,MPQUIC,0.287,1.8-3.6
52,MPQUIC,0.294,1.8-3.6
53,MPQUIC,0.289,1.8-3.6
54,MPQUIC,0.293,1.8-3.6
55,MPQUIC,0.284,1.8-3.6
56,MPQUIC,0.277,1.8-3.6
57,MPQUIC,0.29,1.8-3.6
58,MPQUIC,0.284,1.8-3.6
59,MPQUIC,0.385,3.6-1.8
60,MPQUIC,0.405,3.6-1.8
61,MPQUIC,0.386,3.6-1.8
62,MPQUIC,0.349,3.6-1.8
63,MPQUIC,0.364,3.6-1.8
64,MPQUIC,0.388,3.6-1.8
65,MPQUIC,0.383,3.6-1.8
66,MPQUIC,0.376,3.6-1.8
67,MPQUIC,0.405,3.6-1.8
68,MPQUIC,0.388,3.6-1.8
69,MPQUIC,0.24,3.6-3.6
70,MPQUIC,0.242,3.6-3.6
71,MPQUIC,0.232,3.6-3.6
72,MPQUIC,0.235,3.6-3.6
73,MPQUIC,0.241,3.6-3.6
74,MPQUIC,0.238,3.6-3.6
75,MPQUIC,0.235,3.6-3.6
76,MPQUIC,0.232,3.6-3.6
77,MPQUIC,0.234,3.6-3.6
78,MPQUIC,0.235,3.6-3.6
79,MPTCP,0.969,0.45-0.45
80,MPTCP,1,0.45-0.45
81,MPTCP,0.985,0.45-0.45
82,MPTCP,0.967,0.45-0.45
83,MPTCP,0.99,0.45-0.45
84,MPTCP,0.985,0.45-0.45
85,MPTCP,0.899,0.45-0.45
86,MPTCP,0.983,0.45-0.45
87,MPTCP,1,0.45-0.45
88,MPTCP,0.968,0.9-0.9
89,MPTCP,0.954,0.9-0.9
90,MPTCP,1,0.9-0.9
91,MPTCP,1,0.9-0.9
92,MPTCP,1,0.9-0.9
93,MPTCP,1,0.9-0.9
94,MPTCP,1,0.9-0.9
95,MPTCP,1,0.9-0.9
96,MPTCP,1,0.9-0.9
97,MPTCP,1,0.9-0.9
98,MPTCP,0.562,0.9-1.8
99,MPTCP,0.512,0.9-1.8
100,MPTCP,0.492,0.9-1.8
101,MPTCP,0.522,0.9-1.8
102,MPTCP,0.524,0.9-1.8
103,MPTCP,0.662,0.9-1.8
104,MPTCP,0.505,0.9-1.8
105,MPTCP,0.534,0.9-1.8
106,MPTCP,0.548,0.9-1.8
107,MPTCP,0.533,0.9-1.8
108,MPTCP,0.475,0.9-3.6
109,MPTCP,0.51,0.9-3.6
110,MPTCP,0.5,0.9-3.6
111,MPTCP,0.488,0.9-3.6
112,MPTCP,0.513,0.9-3.6
113,MPTCP,0.513,0.9-3.6
114,MPTCP,0.532,0.9-3.6
115,MPTCP,0.5,0.9-3.6
116,MPTCP,0.507,0.9-3.6
117,MPTCP,0.509,0.9-3.6
118,MPTCP,0.293,1.8-1.8
119,MPTCP,0.21,1.8-1.8
120,MPTCP,0.221,1.8-1.8
121,MPTCP,0.232,1.8-1.8
122,MPTCP,0.215,1.8-1.8
123,MPTCP,0.231,1.8-1.8
124,MPTCP,0.222,1.8-1.8
125,MPTCP,0.228,1.8-1.8
126,MPTCP,0.222,1.8-1.8
127,MPTCP,0.232,1.8-1.8
128,MPTCP,0.185,1.8-3.6
129,MPTCP,0.16,1.8-3.6
130,MPTCP,0.162,1.8-3.6
131,MPTCP,0.163,1.8-3.6
132,MPTCP,0.153,1.8-3.6
133,MPTCP,0.164,1.8-3.6
134,MPTCP,0.162,1.8-3.6
135,MPTCP,0.16,1.8-3.6
136,MPTCP,0.164,1.8-3.6
137,MPTCP,0.17,1.8-3.6
138,MPTCP,0.244,3.6-1.8
139,MPTCP,0.209,3.6-1.8
140,MPTCP,0.211,3.6-1.8
141,MPTCP,0.212,3.6-1.8
142,MPTCP,0.2,3.6-1.8
143,MPTCP,0.199,3.6-1.8
144,MPTCP,0.203,3.6-1.8
145,MPTCP,0.203,3.6-1.8
146,MPTCP,0.211,3.6-1.8
147,MPTCP,0.201,3.6-1.8
148,MPTCP,0.135,3.6-3.6
149,MPTCP,0.137,3.6-3.6
150,MPTCP,0.133,3.6-3.6
151,MPTCP,0.133,3.6-3.6
152,MPTCP,0.133,3.6-3.6
153,MPTCP,0.131,3.6-3.6
154,MPTCP,0.133,3.6-3.6
155,MPTCP,0.133,3.6-3.6
156,MPTCP,0.132,3.6-3.6
157,MPTCP,0.128,3.6-3.6
158,VICTOR,1,0.45-0.45
159,VICTOR,1,0.45-0.45
160,VICTOR,1,0.45-0.45
161,VICTOR,1,0.45-0.45
162,VICTOR,1,0.45-0.45
163,VICTOR,1,0.45-0.45
164,VICTOR,1,0.45-0.45
165,VICTOR,1,0.45-0.45
166,VICTOR,1,0.45-0.45
167,VICTOR,1,0.45-0.45
168,VICTOR,1,0.9-0.9
169,VICTOR,1,0.9-0.9
170,VICTOR,1,0.9-0.9
171,VICTOR,1,0.9-0.9
172,VICTOR,1,0.9-0.9
173,VICTOR,1,0.9-0.9
174,VICTOR,1,0.9-0.9
175,VICTOR,1,0.9-0.9
176,VICTOR,1,0.9-0.9
177,VICTOR,1,0.9-0.9
178,VICTOR,0.933,0.9-1.8
179,VICTOR,0.975,0.9-1.8
180,VICTOR,0.965,0.9-1.8
181,VICTOR,0.963,0.9-1.8
182,VICTOR,0.959,0.9-1.8
183,VICTOR,0.98,0.9-1.8
184,VICTOR,0.975,0.9-1.8
185,VICTOR,0.953,0.9-1.8
186,VICTOR,0.947,0.9-1.8
187,VICTOR,0.97,0.9-1.8
188,VICTOR,0.898,0.9-3.6
189,VICTOR,0.907,0.9-3.6
190,VICTOR,0.895,0.9-3.6
191,VICTOR,0.89,0.9-3.6
192,VICTOR,0.894,0.9-3.6
193,VICTOR,0.899,0.9-3.6
194,VICTOR,0.871,0.9-3.6
195,VICTOR,0.921,0.9-3.6
196,VICTOR,0.907,0.9-3.6
197,VICTOR,0.913,0.9-3.6
198,VICTOR,0.846,1.8-1.8
199,VICTOR,0.787,1.8-1.8
200,VICTOR,0.839,1.8-1.8
201,VICTOR,0.844,1.8-1.8
202,VICTOR,0.8,1.8-1.8
203,VICTOR,0.844,1.8-1.8
204,VICTOR,0.815,1.8-1.8
205,VICTOR,0.775,1.8-1.8
206,VICTOR,0.834,1.8-1.8
207,VICTOR,0.809,1.8-1.8
208,VICTOR,0.587,1.8-3.6
209,VICTOR,0.56,1.8-3.6
210,VICTOR,0.58,1.8-3.6
211,VICTOR,0.584,1.8-3.6
212,VICTOR,0.567,1.8-3.6
213,VICTOR,0.546,1.8-3.6
214,VICTOR,0.598,1.8-3.6
215,VICTOR,0.531,1.8-3.6
216,VICTOR,0.564,1.8-3.6
217,VICTOR,0.564,1.8-3.6
218,VICTOR,0.688,3.6-1.8
219,VICTOR,0.646,3.6-1.8
220,VICTOR,0.668,3.6-1.8
221,VICTOR,0.66,3.6-1.8
222,VICTOR,0.651,3.6-1.8
223,VICTOR,0.7,3.6-1.8
224,VICTOR,0.659,3.6-1.8
225,VICTOR,0.676,3.6-1.8
226,VICTOR,0.621,3.6-1.8
227,VICTOR,0.673,3.6-1.8
228,VICTOR,0.47,3.6-3.6
229,VICTOR,0.455,3.6-3.6
230,VICTOR,0.472,3.6-3.6
231,VICTOR,0.468,3.6-3.6
232,VICTOR,0.46,3.6-3.6
233,VICTOR,0.439,3.6-3.6
234,VICTOR,0.46,3.6-3.6
235,VICTOR,0.461,3.6-3.6
236,VICTOR,0.438,3.6-3.6
237,VICTOR,0.462,3.6-3.6